Tag,LCBM,LCAT,LAMI,LANW,LAPK,LAQM,LARO,LAMJ,LANX,LAPL,LAQN,LARP,LANR,LAPF,LANS,LAPG,FUT
Description,Composite Price,2X4 RL #2 WSPF Chicago,2X4X8 #2 ESPF Boston,2X4X10 #2 ESPF Boston,2x4x12 #2 ESPF Boston,2X4X14 #2 ESPF Boston,2X4X16 #2 ESPF Boston,2X6X8 #2 ESPF Boston,2X6X10 #2 ESPF Boston,2x6x12 #2 ESPF Boston,2X6X14 #2 ESPF Boston,2X6X16 #2 ESPF Boston,2x4x10 #2 SYP FOB Mill East,2x4x12 #2 SYP FOB Mill East,2x6x10 #2 SYP FOB Mill East,2x6x12 #2 SYP FOB Mill East,Futures (Front Month)
1/6/2022,1111,1214,1150,1200,1165,1300,1305,1095,1295,1155,1150,1230,1385,1385,1100,1100,1191
1/13/2022,1192,1294,1200,1250,1210,1345,1350,1115,1345,1190,1185,1270,1470,1470,1175,1185,1229
1/20/2022,1235,1319,1225,1280,1235,1370,1370,1135,1365,1210,1205,1290,1510,1520,1210,1220,1189
1/27/2022,1227,1294,1205,1260,1215,1345,1350,1120,1345,1190,1180,1270,1435,1445,1150,1160,995
2/3/2022,1183,1274,1170,1220,1160,1290,1275,1090,1275,1120,1110,1200,1265,1300,1025,1040,1025
2/10/2022,1217,1369,1275,1320,1260,1385,1375,1155,1375,1220,1200,1300,1290,1325,1050,1060,1250
2/17/2022,1271,1419,1365,1420,1345,1475,1460,1235,1465,1300,1285,1385,1350,1375,1125,1140,1290
2/24/2022,1303,1459,1415,1470,1365,1500,1490,1280,1505,1340,1315,1425,1375,1450,1200,1220,1312
3/3/2022,1326,1494,1475,1520,1395,1530,1520,1310,1540,1370,1345,1455,1350,1425,1200,1220,1464
3/10/2022,1334,1494,1500,1540,1405,1540,1530,1325,1555,1380,1355,1465,1310,1390,1170,1190,1349
3/17/2022,1319,1494,1510,1540,1405,1540,1530,1325,1555,1380,1355,1465,1200,1300,1080,1090,1207
3/24/2022,1260,1444,1490,1515,1355,1490,1480,1285,1525,1320,1300,1410,1070,1170,940,950,1020
3/31/2022,1134,1294,1440,1470,1275,1410,1400,1230,1450,1235,1220,1330,845,945,740,750,965
4/7/2022,994,1184,1300,1330,1145,1270,1250,1090,1300,1090,1065,1180,695,795,615,625,893
4/14/2022,936,1099,1200,1255,1070,1200,1175,1035,1240,1025,1000,1120,665,765,605,620,889
4/21/2022,933,1134,1140,1225,1030,1165,1145,1015,1195,980,955,1075,665,765,605,620,1025
4/28/2022,959,1174,1165,1250,1055,1190,1170,1045,1220,1005,980,1100,675,775,625,640,1045
5/5/2022,971,1184,1170,1250,1055,1190,1170,1045,1220,1005,980,1100,675,775,625,640,1020
5/12/2022,961,1149,1150,1225,1025,1165,1140,1015,1185,970,945,1065,660,765,610,625,1004
5/19/2022,901,1004,1065,1135,925,1075,1040,950,1085,870,845,960,640,740,570,585,691
5/26/2022,794,854,960,1025,825,975,940,850,975,760,735,850,610,700,500,510,683
6/2/2022,699,734,825,905,690,845,815,730,845,620,595,710,570,660,435,450,599
6/9/2022,608,659,720,770,610,750,730,665,765,525,495,615,535,625,400,410,568
6/16/2022,578,664,660,685,565,710,685,595,720,485,455,575,515,610,400,400,569
6/23/2022,587,704,685,695,580,725,700,630,740,520,480,600,525,610,410,410,617
6/30/2022,604,734,700,695,625,740,730,660,750,560,510,625,545,620,425,425,663
7/7/2022,619,744,720,715,650,770,750,670,765,595,520,640,565,640,450,445,668
7/14/2022,640,774,725,715,660,785,765,680,785,630,535,655,595,670,480,475,640
7/21/2022,654,774,725,720,665,790,775,690,800,650,555,675,635,710,520,515,623
7/28/2022,649,744,710,710,655,785,770,685,800,650,550,670,665,730,540,535,537
8/4/2022,622,694,665,660,610,740,730,650,765,600,500,645,680,745,540,525,500
8/11/2022,616,704,645,660,610,740,730,660,765,600,500,645,710,775,510,490,695
8/18/2022,612,704,645,665,615,745,735,660,775,610,510,650,690,755,460,440,670
8/25/2022,588,654,610,635,605,725,725,650,770,600,500,645,650,705,410,400,608
9/1/2022,558,599,590,600,585,695,695,630,760,575,475,630,600,640,395,390,605
9/8/2022,541,599,580,585,575,675,685,620,755,565,470,615,560,590,395,390,610
9/15/2022,538,624,580,575,565,670,685,620,750,565,480,620,530,555,405,400,588
9/22/2022,529,619,565,575,565,670,685,615,750,565,485,620,510,535,425,420,561
9/29/2022,512,579,540,545,545,625,635,590,705,555,475,585,480,505,435,430,525
10/6/2022,491,534,495,515,525,595,590,565,680,535,470,565,455,475,435,430,551
10/13/2022,487,544,490,515,525,595,590,565,675,545,480,580,420,440,435,430,600
10/20/2022,494,574,495,515,525,595,595,565,680,550,485,600,400,420,435,430,645
